book_id,book_title,book_genres
2767052,"The Hunger Games (The Hunger Games, #1)",Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Fantasy|Young Adult|Fiction
41865,"Twilight (Twilight, #1)",Classics|Fiction|Historical|Historical Fiction|Academic|School
2657,To Kill a Mockingbird,Classics|Fiction|Romance
4671,The Great Gatsby,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal
11870085,The Fault in Our Stars,Historical|Historical Fiction|Fiction|Young Adult
5907,The Hobbit,Fantasy|Classics|Fiction|Young Adult|Childrens
5107,The Catcher in the Rye,Classics|Fiction|Science Fiction|Dystopia|Fantasy|Literature|Academic|School|Politics|Science Fiction|Novels|Academic|Read For School
960,"Angels & Demons  (Robert Langdon, #1)",Classics|Historical|Historical Fiction|Fiction|Romance|Historical
1885,Pride and Prejudice,Fantasy|Fiction|Classics
77203,The Kite Runner,Young Adult|Fiction|Romance|Contemporary
13335037,"Divergent (Divergent, #1)",Science Fiction|Fiction|Humor|Fantasy|Classics
5470,Nineteen Eighty-four,Childrens|Childrens|Picture Books|Classics|Fiction
7613,Animal Farm,Classics|Fiction|Romance|Literature
48855,The Diary of a Young Girl,Fiction|Mystery|Thriller
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Fiction|Historical|Historical Fiction|Romance|Historical
6148028,"Catching Fire (The Hunger Games, #2)",Classics|Fantasy|Fiction|Childrens
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Fiction|Classics|Horror|Fantasy|Literature|Gothic|Novels|Literature|19th Century|Classics|Classic Literature|European Literature|British Literature
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",Classics|Fiction|Historical|Historical Fiction|Literature
7260188,"Mockingjay (The Hunger Games, #3)",Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",Classics|Fiction|Romance|Historical|Historical Fiction|Literature|Gothic|Historical|Literature|19th Century|Classics|Classic Literature|Academic|School
12232938,The Lovely Bones,Classics|Plays|Fiction|Romance|Academic|School|Drama|Academic|Read For School|Literature|Young Adult|High School|Poetry
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Classics|Fiction|Young Adult|Academic|School|Literature
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",Fiction|Classics|Fantasy|Philosophy|Novels|Spirituality|Literature|Inspirational|Adventure|Self Help
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
968,"The Da Vinci Code (Robert Langdon, #2)",Science Fiction|Fiction|Young Adult|Fantasy
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Young Adult|Fiction|Contemporary
7624,Lord of the Flies,Fantasy|Young Adult|Fantasy|Paranormal|Romance
18135,Romeo and Juliet,Fiction|Historical|Historical Fiction|Historical|Adult
19288043,Gone Girl,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American
4667024,The Help,Fiction|Romance|Fantasy|Science Fiction|Time Travel|Science Fiction
890,Of Mice and Men,Classics|Childrens|Fiction
929,Memoirs of a Geisha,Classics|Fiction|Young Adult|Childrens|Historical|Historical Fiction|Historical|Cultural|Canada|Childrens|Middle Grade|Audiobook|Young Adult|Coming Of Age
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction
865,The Alchemist,Classics|Horror|Fiction|Fantasy|Paranormal|Vampires
3636,"The Giver (The Giver, #1)",Classics|Fiction|Science Fiction|Science Fiction|Dystopia|Literature|Novels|Academic|School|Fantasy|Science Fiction Fantasy|Philosophy
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",Fiction|Classics|Magical Realism|Literature
18619684,The Time Traveler's Wife,Classics|Fiction|Fantasy|Childrens
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",Fantasy|Fiction|Classics|Romance|Humor|Young Adult
19501,"Eat, Pray, Love",Classics|Fiction|Childrens|Young Adult|Historical|Historical Fiction|Childrens|Middle Grade|Literature|Fantasy|Historical|Novels
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Classics|Fiction|Young Adult|Literature
1934,"Little Women (Little Women, #1)",Fiction|Historical|Historical Fiction
10210,Jane Eyre,Fantasy|Young Adult|Fiction|Classics|Science Fiction|Childrens
15931,"The Notebook (The Notebook, #1)",Classics|Fiction|Science Fiction|Science Fiction|Dystopia
4214,Life of Pi,Fantasy|Fiction|Fantasy|Epic Fantasy
43641,Water for Elephants,Fantasy|Young Adult|Fantasy|Mythology|Fiction
19063,The Book Thief,Classics|Fiction|Historical|Historical Fiction|Literature|Young Adult
4381,Fahrenheit 451,Fiction|Mystery|Young Adult|Contemporary
49041,"New Moon (Twilight, #2)",Childrens|Childrens|Picture Books|Fiction|Classics
30119,Where the Sidewalk Ends,Childrens|Childrens|Picture Books|Classics|Fiction
256683,"City of Bones (The Mortal Instruments, #1)",Fantasy|Young Adult|Fiction
428263,"Eclipse (Twilight, #3)",Fiction|Fantasy|Classics|Adventure
113436,"Eragon (The Inheritance Cycle, #1)",Classics|Fiction|Historical|Historical Fiction|Literature
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Classics|Young Adult|Fiction|Academic|School
5129,Brave New World,Fiction|Historical|Historical Fiction|Romance|Historical
1162543,"Breaking Dawn (Twilight, #4)",Classics|Fiction|Poetry|Fantasy|Mythology|Fantasy|Academic|School|Literature|Adventure|Academic|Read For School|Historical|Historical Fiction
37435,The Secret Life of Bees,Classics|Fiction|Literature
2956,The Adventures of Huckleberry Finn,Classics|Fiction|Science Fiction|War
24178,Charlotte's Web,Classics|Fiction|War|Historical|Historical Fiction|Humor
1618,The Curious Incident of the Dog in the Night-Time,Classics|Fiction|Horror|Science Fiction|Gothic|Fantasy|Literature|Academic|School|Novels|Literature|19th Century
22557272,The Girl on the Train,Fiction|Historical|Historical Fiction|Contemporary
119322,"The Golden Compass (His Dark Materials, #1)",Historical|Historical Fiction|Fiction|Historical
6185,Wuthering Heights,Horror|Fiction|Fantasy|Science Fiction|Apocalyptic|Post Apocalyptic
10917,My Sister's Keeper,Young Adult|Fiction|Classics|Science Fiction|Dystopia|Science Fiction
4981,Slaughterhouse-Five,Classics|Fiction|Fantasy|Young Adult|Animals
18405,Gone with the Wind,Fiction|Classics|Science Fiction|Dystopia|Science Fiction|Feminism
128029,A Thousand Splendid Suns,Classics|Mystery|Fiction|Short Stories|Mystery|Crime|Mystery|Detective|Literature|Adventure|Literature|19th Century|Historical|Historical Fiction
22628,The Perks of Being a Wallflower,Fiction|Contemporary|Womens Fiction|Chick Lit
11735983,"Insurgent (Divergent, #2)",Classics|Fiction|Literature|Psychology
375802,"Ender's Game (Ender's Saga, #1)",Classics|Fiction|Feminism|Psychology|Mental Health|Mental Illness|Literature|Health|Mental Health|Novels|Poetry|Literature|American
18490,Frankenstein,Historical|Historical Fiction|Romance|Fantasy|Fiction|Science Fiction|Time Travel|Historical|Romance|Historical Romance
11588,The Shining (The Shining #1),Fiction|Mystery|Thriller|Mystery|Crime
1656001,"The Host (The Host, #1)",Classics|Fiction|Mystery|Romance|Gothic
99561,Looking for Alaska,Classics|Fiction|Historical|Historical Fiction|Young Adult
227443,"Bridget Jones's Diary (Bridget Jones, #1)",Childrens|Fiction|Fantasy|Classics
14935,Sense and Sensibility,Classics|Fiction|Historical|Historical Fiction|Feminism
38709,"Holes (Holes, #1)",Fantasy|Classics|Fiction|Adventure
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Classics|Fiction|Historical|Historical Fiction|Young Adult
1381,The Odyssey,Fiction|Science Fiction|Science Fiction|Dystopia|Apocalyptic|Post Apocalyptic
157993,The Little Prince,Nonfiction|Autobiography|Memoir|Biography
7445,The Glass Castle,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
1845,Into the Wild,Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
1953,A Tale of Two Cities,Science Fiction|Fiction|Fantasy|Classics
6424171,"Jurassic Park (Jurassic Park, #1)",Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
370493,The Giving Tree,Fiction|Historical|Historical Fiction|Cultural|Africa|Classics
32542,A Time to Kill,Classics|Fiction|Philosophy|Religion|Literature|Spirituality
1617,Night (The Night Trilogy #1),Fiction|Classics|Philosophy|Literature|Politics
6442769,Paper Towns,Fantasy|Young Adult|Fiction
21787,The Princess Bride ,Classics|Fiction|Literature|European Literature|Spanish Literature
231804,The Outsiders,Fantasy|Young Adult|Fiction
6186357,"The Maze Runner (Maze Runner, #1)",Classics|Fiction|Science Fiction|Science Fiction|Dystopia
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Romance|Fiction|Womens Fiction|Chick Lit|Contemporary
2998,The Secret Garden,Classics|Fiction|Literature|Novels|Literature|American|Academic|School|Adventure|Classics|Classic Literature|Literature|20th Century|Literary Fiction
320,One Hundred Years of Solitude,Classics|Fiction|Literature|Historical|Historical Fiction
5297,The Picture of Dorian Gray,Classics|Poetry|Horror|Fiction|Short Stories
13536860,"Fifty Shades Freed (Fifty Shades, #3)",Fiction|Classics|Literature|Contemporary
17245,Dracula,Classics|Childrens|Fiction
5060378,"The Girl Who Played with Fire (Millennium, #2)",Classics|Fiction|Cultural|Russia|Romance
11857408,"Fifty Shades Darker (Fifty Shades, #2)",Classics|Fiction|Literature|Adventure
7244,The Poisonwood Bible,Horror|Fantasy|Fiction|Paranormal|Vampires|Fantasy|Paranormal
4137,Me Talk Pretty One Day,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
19543,Where the Wild Things Are,Historical|Historical Fiction|Fiction|Christian|Literature
7126,The Count of Monte Cristo,Fiction|Historical|Historical Fiction|Young Adult|Adult Fiction
6288,The Road,Fantasy|Young Adult|Fiction
18710190,"Allegiant (Divergent, #3)",Fantasy|Young Adult|Fantasy|Paranormal|Science Fiction|Steampunk|Romance
9418327,Bossypants,Fiction|Historical|Historical Fiction|Contemporary
3473,A Walk to Remember,Classics|Fiction|Literature|Historical|Historical Fiction
9416,"Confessions of a Shopaholic (Shopaholic, #1)",Classics|Fiction|Adventure|Young Adult|Historical|Historical Fiction|Literature|Childrens|Academic|School|Novels|Literature|American
24280,Les Misérables,Classics|Fiction|Philosophy|Cultural|France|Literature|Novels|European Literature|French Literature|Academic|School|Literature|20th Century|Academic|Read For School
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",Mystery|Classics|Fiction|Mystery|Crime|Thriller
10441,The Memory Keeper's Daughter,Fiction|Classics|Cultural|Russia|Fantasy|Literature|Russian Literature|Magical Realism
15507958,"Me Before You (Me Before You, #1)",Childrens|Fantasy|Fiction|Classics
168668,Catch-22,Fantasy|Young Adult|Fiction
6900,Tuesdays with Morrie,Horror|Fiction|Thriller
2187,Middlesex,Classics|Fiction|Travel|Literature
24583,The Adventures of Tom Sawyer,Fantasy|Young Adult|Fiction|Fantasy|Dragons
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Childrens|Picture Books|Childrens
7763,The Joy Luck Club,Nonfiction|Autobiography|Memoir|Biography|Inspirational
38447,The Handmaid's Tale,Fiction|Classics|Science Fiction|Young Adult
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Fiction|Historical|Historical Fiction|Mystery|Fantasy
7604,Lolita,Fantasy|Fiction|Fantasy|Epic Fantasy
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Young Adult|Fiction|Contemporary|Romance
5358,"The Firm (Penguin Readers, Level 5)",Fiction|Mystery|Young Adult|Contemporary
7937843,Room,Fiction|Classics|Philosophy|Literature|Novels
1420,Hamlet,Classics|Fiction|Fantasy|Literature|Short Stories|Philosophy
234225,Dune (Dune Chronicles #1),Fiction|Historical|Historical Fiction|Mystery|Classics|Historical|Literature
2612,The Tipping Point: How Little Things Can Make a Big Difference,Classics|Fiction|Historical|Historical Fiction|Academic|School
11084145,Steve Jobs,Fantasy|Young Adult|Fiction
332613,One Flew Over the Cuckoo's Nest,Young Adult|Fantasy|Fantasy|Paranormal|Paranormal|Angels|Romance
2165,The Old Man and the Sea,Fiction|Inspirational|Contemporary|Fantasy
18114322,The Grapes of Wrath,Fiction|Classics|Mystery|Crime|Thriller|Historical|Historical Fiction
3431,The Five People You Meet in Heaven,Nonfiction|Classics|Crime|True Crime|Mystery|Crime|Mystery
8127,"Anne of Green Gables (Anne of Green Gables, #1)",Classics|Fiction|Cultural|Russia|Romance
3777732,"City of Glass (The Mortal Instruments, #3)",Fiction|Historical|Historical Fiction|Westerns|Classics|Historical
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",Childrens|Childrens|Picture Books|Classics|Fiction
137791,Divine Secrets of the Ya-Ya Sisterhood,Fiction|Contemporary|Classics|Thriller
